Weapon,Case,Rarity,Min Wear,Max Wear,Case_1,StatTrak Factory New,StatTrak Minimal Wear,StatTrak Field-Tested,StatTrak Well-Worn,StatTrak Battle-Scarred,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred
Five-SeveN,Copper Galaxy,Restricted Pistol,0.00,0.20,CS:GO Weapon Case 3,$31.11,$25.08,$25.12,Not Possible,Not Possible,$10.48,$9.82,$10.18,Not Possible,Not Possible
Five-SeveN,Case Hardened,Restricted Pistol,0.00,1.00,CS:GO Weapon Case 2,$109.50,$43.05,$29.72,$30.38,$27.62,$29.00,$17.49,$13.28,$13.62,$12.67
Five-SeveN,Scrawl,Mil-Spec Pistol,0.00,1.00,Dreams & Nightmares Case,$1.65,$0.37,$0.13,$0.13,$0.18,$0.28,$0.11,$0.07,$0.07,$0.07
Five-SeveN,Flame Test,Mil-Spec Pistol,0.00,0.65,Clutch Case,$0.74,$0.28,$0.12,$0.21,$0.12,$0.23,$0.11,$0.07,$0.07,$0.07
Five-SeveN,Capillary,Mil-Spec Pistol,0.00,0.70,Spectrum Case,$1.15,$0.66,$0.32,$0.52,$0.25,$0.32,$0.24,$0.18,$0.19,$0.14
Five-SeveN,Scumbria,Mil-Spec Pistol,0.00,1.00,Gamma 2 Case,$2.20,$0.31,$0.13,$0.12,$0.12,$0.48,$0.11,$0.09,$0.08,$0.07
Five-SeveN,Violent Daimyo,Mil-Spec Pistol,0.00,0.70,Gamma Case,$2.72,$0.96,$0.35,$1.29,$0.28,$0.49,$0.19,$0.11,$0.21,$0.11
Five-SeveN,Urban Hazard,Mil-Spec Pistol,0.00,0.25,Operation Vanguard Weapon Case,$3.22,$2.31,$1.92,Not Possible,Not Possible,$1.06,$0.76,$0.64,Not Possible,Not Possible
Five-SeveN,Nightshade,Mil-Spec Pistol,0.00,0.50,eSports 2013 Winter Case,$6.62,$5.90,$5.14,$4.53,$3.68,$2.03,$1.46,$1.29,$1.38,$1.58
Five-SeveN,Kami,Mil-Spec Pistol,0.00,0.30,Winter Offensive Weapon Case,$2.99,$1.89,$1.90,Not Possible,Not Possible,$1.64,$0.97,$0.99,Not Possible,Not Possible
Glock-18,Neo-Noir,Covert Pistol,0.00,1.00,Operation Broken Fang Case,$323.23,$94.16,$43.82,$32.85,$31.66,$61.90,$23.88,$10.94,$8.31,$7.28
Glock-18,Bullet Queen,Covert Pistol,0.00,1.00,Prisma 2 Case,$216.60,$67.80,$28.00,$19.10,$15.49,$49.82,$16.37,$7.31,$5.17,$4.60
Glock-18,Wasteland Rebel,Covert Pistol,0.00,0.54,Gamma Case,$40.87,$26.19,$19.50,$20.20,$20.09,$6.78,$4.57,$4.25,$6.55,$4.14
Glock-18,Snack Attack,Classified Pistol,0.00,1.00,Operation Riptide Case,$130.00,$28.93,$13.04,$9.66,$10.86,$24.03,$7.37,$3.86,$2.73,$2.59
Glock-18,Vogue,Classified Pistol,0.00,0.75,Fracture Case,$22.42,$12.94,$5.57,$7.64,$5.20,$8.79,$5.32,$3.02,$2.82,$2.48
